668-603562189564219392	RT CoachhCruz Glad to see the Houston fam is still tippin on 4 4s houstonflood 
668-604800263988248576	Anyone found a way from heights to south 45 houstonflood
668-604800285832142848	houstonflood Khou 
668-604800289405673472	RT Rainbowdonkee Good reminder for right now in Houston TexasFlood houstonflood 
668-604800294422224896	Raindrops houstonflood httpstcobGdzLyDUFc
668-604800325799841792	Real  talk though houstonflood houston flood httpstcoGkxajmtwP8
668-604800329645993984	Photo Real  talk though houstonflood houston flood 
668-604800375430856704	houwx houstonflood txwx  httpstcoJv3HadXmMM
668-604800448424472576	Via KrisGillentine houwx houstonflood   httpstcoqQsZarwXtU
668-604800465918791680	RT springyardsale houstonflood PJNET ccot tcot 
668-604800515445157888	More rain is here houstonflood
668-604800517697462272	Who needs a hurricaneHoustonHoustonRain houstonfloodabc13eyewitness  httpstcoeY0uJmmwIw
668-604800536739586049	RT HoustonOEM US59 closed at Shepherd due to high water  Please do not attempt to cross it Stay off the roadways houwx houstonflood
668-604800566795984896	RT JoelOsteen There will be storms in life but they are only temporary Praying for our friends in Houston and Texas HoustonFlood
668-604800592230281216	RT lrwunsch Thnks 2 HoustonJewishFunerals for creating a vehicle 2 dispose of damaged religious texts Jewish houstonflood 
668-604800594583285761	RT StationCDRKelly Hard to imagine this underwater My thoughts are w those affected by the floods back home Stay safe HoustonFlood ht
668-604800597217284096	I dont understand why grown folks need to be told not to drive into flooded streets houstonflood
668-604800719808401409	RT Rainbowdonkee Good reminder for right now in Houston TexasFlood houstonflood 
668-604800723214213120	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604800744923865088	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604800755602563072	RT iseenitRubenS HoustonFlood inside MinuteMaidPark 2015 httpstco8tRbd8BcpQ via YouTube
668-604800802184556545	RT sportsmediaLM When you live in a trailer park and this is your shot to get on TV houstonFlood 
668-604800815119921152	RT marieyo Stuck at fiesta houstonflood abc13eyewitness 
668-604800966336999426	Turn around  dont drown Rainbowdonkee Good reminder for right now in Houston TexasFlood houstonflood 
668-604801003439849472	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604801015473242112	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604801025476665345	This will sure make for a memorable graduation TexasFlood HoustonFlood httpstcofXXkjWZ9f9
668-604801025648656385	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604801027347496960	Gotta love black social media HoustonFlood httpstcoaOCRom3mLR
668-604801037329788929	abc13eyewitness HoustonFlood Ridgemont Elementary 
668-604801059782045696	RT jgalvanpress This will sure make for a memorable graduation TexasFlood HoustonFlood httpstcofXXkjWZ9f9
668-604801089884397568	Wow RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604801113154416640	RT TheBullHouston 59Southwest Frwy shut down both ways near Shepherd bc of high water houstonflood 
668-604801156498362369	RT Rainbowdonkee Good reminder for right now in Houston TexasFlood houstonflood 
668-604801169722966016	RT abc13houston From HoustonISD Westbury HS graduation delayed until 730pm HoustonFlood
668-604801197225164800	RT MichelleAngeloo abc13eyewitness HoustonFlood Ridgemont Elementary 
668-604801271791382528	RT MichelleAngeloo abc13eyewitness HoustonFlood Ridgemont Elementary 
668-604801298244894721	RT AmandaPantsTX Thats a garbage can floating down our street and car getting caught in the rising water HoustonFlood Montrose http
668-604801312287391744	RT MichelleAngeloo abc13eyewitness HoustonFlood Ridgemont Elementary 
668-604801318285221888	RT MichelleAngeloo abc13eyewitness HoustonFlood Ridgemont Elementary 
668-604801420202668032	RT ElNaranja22 The sun rises and  HoustonFlood 
668-604801429581078528	RT GraceWhiteKHOU Cool cloud shot Is that clearing in the distance Hope HoustonFlood KHOU KHOU11 HouNews 
668-604801461621358592	RT MichelleAngeloo abc13eyewitness HoustonFlood Ridgemont Elementary 
668-604801465496969218	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604801474778923010	CANCELED EVENT Foam Glow 5K has canceled tonights event at Sam Houston Raceway due to the severe weather houstonflood abc13
668-604801511651217408	RT springyardsale houstonflood PJNET ccot tcot 
668-604801512783515648	RT abc13houston CANCELED EVENT Foam Glow 5K has canceled tonights event at Sam Houston Raceway due to the severe weather houstonflood 
668-604801535885713408	houstonflood houwwx httpstcoxcRPBke2Ni
668-604801542147801088	NathanBoughton my yard has already flooded out again houstonflood
668-604801542324027392	No more rain man houstonflood TurnAroundDontDrown
668-604801567179436033	RT MichelleAngeloo abc13eyewitness HoustonFlood Ridgemont Elementary 
668-604801609026052096	RT abc13houston CANCELED EVENT Foam Glow 5K has canceled tonights event at Sam Houston Raceway due to the severe weather houstonflood 
668-604801658615259138	WARNING DONT LIGHT THIS CANDLEIM SO SORRY ABOUT THE FLOODING RN houstonweather Houston houstonflood 
668-604801672112578560	RT abc13houston CANCELED EVENT Foam Glow 5K has canceled tonights event at Sam Houston Raceway due to the severe weather houstonflood 
668-604801715720699904	RT HCOHSEM FEMA Disaster Assistance  or call 1800621FEMA 3362 Register Now HouNews houstonflood
668-604801724927361024	RT abc13houston CANCELED EVENT Foam Glow 5K has canceled tonights event at Sam Houston Raceway due to the severe weather houstonflood 
668-604801727997435904	houstonflood houwx httpstcoN0uIXBnJbb
668-604801736587370496	Pray for Houston More flooding is here Im at my cousins graduation Not sure if well be able to get home tonight houstonflood
668-604801749069631488	There was a crazy leak in minute maid park houstonflood Astros baseball
668-604801769558835200	RT PatriciaOnTV   marissaramseyy coming out of man hole cover abc13eyewitness HoustonFlood ABC13 
668-604801795882385408	RT HoustonOEM houstonflood houwx httpstcoN0uIXBnJbb
668-604801815754850304	RT abc13houston From HoustonISD Westbury HS graduation delayed until 730pm HoustonFlood
668-604801834918670336	This weekend graduates amp their families  need 2 be down 4 whatever houstonflood
668-604801842296389635	RT FullCircleTeach jewish inclusion specialist lost everything in houstonflood if you want to help her let me know
668-604801877688074241	Come to the erjcchouston Sunday at 1000 am to help your neighbors  Jewish HoustonFlood 
668-604801887020412928	Be careful Washington Ave HoustonFlood 
668-604801899733262336	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604801916887928832	RT FBCSO In case you need a reminder of why you should keep your kids out of the flood waters HoustonFlood 
668-604801926606118913	RT marieyo Stuck at fiesta houstonflood abc13eyewitness 
668-604801968939229184	RT ElNaranja22 The sun rises and  HoustonFlood 
668-604802013583437824	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604802031635820546	RT HoustonOEM houstonflood houwx httpstcoN0uIXBnJbb
668-604802037155397633	RT sportsmediaLM astros minutemaidpark houstonflood 
668-604802042868187136	RT HoustonOEM houstonflood houwwx httpstcoxcRPBke2Ni
668-604802056365338624	RT ImJessicaWilley Street flooding at Chimney Rock amp S Braeswood abc13 houstonflood 
668-604802058529730560	RT abc13houston CANCELED EVENT Foam Glow 5K has canceled tonights event at Sam Houston Raceway due to the severe weather houstonflood 
668-604802074014945280	ABC13Flooding HoustonFlood Houston weather Sampson amp York 
668-604802112787247104	From HoustonISD Waltrip graduation delayed one hour Bellaire delayed 30 minutes HoustonFlood
668-604802112954998785	From HoustonISD Waltrip graduation delayed one hour Bellaire delayed 30 minutes HoustonFlood
668-604802159478108160	RT abc13houston From HoustonISD Waltrip graduation delayed one hour Bellaire delayed 30 minutes HoustonFlood
668-604802172467814401	RT abc13houston CANCELED EVENT Foam Glow 5K has canceled tonights event at Sam Houston Raceway due to the severe weather houstonflood 
668-604802176393674752	RT MichelleAngeloo abc13eyewitness HoustonFlood Ridgemont Elementary 
668-604802216747102208	RT abc13weather From HoustonISD Waltrip graduation delayed one hour Bellaire delayed 30 minutes HoustonFlood
668-604802292517199872	abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604802300297609216	Barely made it to the studio only to find a wet couch under a leaky roof streetflooding eado houstonflood
668-604802335014027264	Streets are flooding quickly again and traffic lights blowing away HoustonFlood httpstcolYhj8svVjv
668-604802356585332736	These shots from inside Houston Minute Maid Park post astros game are unsettling mlb houstonflood 
668-604802362369187840	Wow Enough rain here RT Breaking911 Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604802381583237120	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604802412470267904	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604802420267487232	Raining abc abc13houston khou kprc2 houston houstonflood houwx htown rain flood flooding httpstcoryZQ5iQ6On
668-604802431776518144	RT marieyo Stuck at fiesta houstonflood abc13eyewitness 
668-604802468036243456	MattressMakers wants to help those who lost beds in houstonflood
668-604802470070525952	RT abc13houston From HoustonISD Westbury HS graduation delayed until 730pm HoustonFlood
668-604802488835833856	RT sportsmediaLM When you live in a trailer park and this is your shot to get on TV houstonFlood 
668-604802496981131264	RT AHAYAHesALLAH LianaLisa Whew B safe out there yall Houston weather Houstontexas houstonflood HighTechAztec AztecMuse h
668-604802508507078656	RT thisgirlallie Look at the water inside minutemaidpark so far This is craziness houstonflood 
668-604802582670737408	RT HCOHSEM FEMA Disaster Assistance  or call 1800621FEMA 3362 Register Now HouNews houstonflood
668-604802586948993024	RT lrwunsch Come to the erjcchouston Sunday at 1000 am to help your neighbors  Jewish HoustonFlood 
668-604802608667049984	RT AHAYAHesALLAH LianaLisa Whew B safe out there yall Houston weather Houstontexas houstonflood HighTechAztec AztecMuse h
668-604802619203325952	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604802629294620672	RT LianaLisa Whew B safe out there yall Houston weather HoustonFloods texas houstonflood HighTechAztec AztecMuse 
668-604802635355463681	RT abc13houston CANCELED EVENT Foam Glow 5K has canceled tonights event at Sam Houston Raceway due to the severe weather houstonflood 
668-604802647325933569	Well apparently its STORMING AGAIN this is not what I signed up for Houston houstonflood
668-604802648643006465	RT marchofbones Nassau Bay abc13eyewitness Houston houstonflood 
668-604802684235870208	RT marieyo Stuck at fiesta houstonflood abc13eyewitness 
668-604802701625425920	RT StationCDRKelly Hard to imagine this underwater My thoughts are w those affected by the floods back home Stay safe HoustonFlood ht
668-604802705345777664	You Wont Believe These Pictures of a Flooding Baseball Stadium  minutemaidpark houstonflood houston 
668-604802705345802240	You Wont Believe These Pictures of a Flooding Baseball Stadium  minutemaidpark houstonflood houston 
668-604802707447123968	hounews HOU houstonflood riverflooding houstonweather 
668-604802710508957696	Aldine Westfield in spring houstonflood 
668-604802716196478976	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-604802790582448128	RT AHAYAHesALLAH LianaLisa Whew B safe out there yall Houston weather Houstontexas houstonflood HighTechAztec AztecMuse h
668-604802827022499840	RT abc13houston From HoustonISD Waltrip graduation delayed one hour Bellaire delayed 30 minutes HoustonFlood
668-604802838112272384	RT abc13houston From HoustonISD Waltrip graduation delayed one hour Bellaire delayed 30 minutes HoustonFlood
668-604802840578514945	Not raining as hard as earlier in the week but backyard is already half flooded Street in front of house flooded over curb houstonflood
668-604802844554715136	RT RedCrossDFW Houstonflood may continue Avoid flood waters Get to high ground and stay safe TXOKRC httpstcork8bVyjGGv
668-604802874346856448	RT abc13houston CANCELED EVENT Foam Glow 5K has canceled tonights event at Sam Houston Raceway due to the severe weather houstonflood 
668-604802921759420416	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604802990239645697	RT AARonRodgers IfWeDate TexasFloods HoustonFlood 
668-604803012880564224	RT abc13houston CANCELED EVENT Foam Glow 5K has canceled tonights event at Sam Houston Raceway due to the severe weather houstonflood 
668-604803037916299265	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604803052046942208	RT ShernMinKHOU Looks like Houstonflood but its DallasFlood  I30 is a parking lot Miles Long  See you KHOU at 4 Weather http
668-604803061073080320	RT Readygov Get flood safety tips weather alerts amp shelter locations on the FEMA app httpstco9VtEJ9XSEp HoustonFlood txwx
668-604803065166757889	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604803069155475456	houstonflood houwx httpstcoc7fZcL2Zyz
668-604803076969623552	RT RedCrossDFW Houstonflood may continue Avoid flood waters Get to high ground and stay safe TXOKRC httpstcork8bVyjGGv
668-604803117700349953	RT marieyo Stuck at fiesta houstonflood abc13eyewitness 
668-604803120766402561	RT mdgoykhman Polk and Paige in eado houstonwx houstonflood abc13houston abc13weather 
668-604803133345120257	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604803142073479170	RT marchofbones Nassau Bay abc13eyewitness Houston houstonflood 
668-604803156401209344	RT GraceWhiteKHOU When will the rain stop Were live on KHOU right now to walk you through it DavidPaulKHOU live on HoustonFlood htt
668-604803182808604672	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604803208305741825	houstonflood 20
668-604803255772827649	This HarryPotterWeekend on ABCFamily is the only thing thats keeping me happy during this storm HoustonFlood
668-604803264421474305	DEVELOPING Westbury HS graduation at NRG Arena is delayed until 730 FOX26Wx HouWx houstonflood YGCWA
668-604803405362520066	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604803430733905920	The night after you leave a Beyonc concert houstonflood minutemaidpark 
668-604803457548050432	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604803501227708416	Houston houstonflood midtownHOU 
668-604803541488648192	The floods in Houston are no joke houstonflood 
668-604803553002012672	RT MichelleAngeloo abc13eyewitness HoustonFlood Ridgemont Elementary 
668-604803570727149569	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604803608463339520	RT abc13houston From HoustonISD Westbury HS graduation delayed until 730pm HoustonFlood
668-604803701480374272	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604803725824126976	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604803742320324609	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604803749421318144	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604803780916289536	RT MyFoxHouston DEVELOPING Westbury HS graduation at NRG Arena is delayed until 730 FOX26Wx HouWx houstonflood YGCWA
668-604803802940596224	RT AmandaPantsTX Thats a garbage can floating down our street and car getting caught in the rising water HoustonFlood Montrose http
668-604803835094106113	RT HTCAshleyS Pray for our city Pray for our state Houston HoustonFlood Flooding Texas TexansCheer 
668-604803857059692544	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604803870703771648	Dont you just love all the rain were getting right now Houston HoustonFlood
668-604803874377957376	RT abc13houston CANCELED EVENT Foam Glow 5K has canceled tonights event at Sam Houston Raceway due to the severe weather houstonflood 
668-604803885232881665	Minute Maid is flooding after Dallas Keuchels Complete Game ShutoutFearTheBeard HoustonFlood 
668-604803915972907008	abc13weather From HoustonISD Waltrip graduation delayed one hour Bellaire delayed 30 minutes HoustonFlood CANT STOP WALTRIP
668-604804042657701889	RT abc13houston From HoustonISD Westbury HS graduation delayed until 730pm HoustonFlood
668-604804126824755200	RT abc13houston From HoustonISD Westbury HS graduation delayed until 730pm HoustonFlood
668-604804147729203200	RT abc13houston From HoustonISD Waltrip graduation delayed one hour Bellaire delayed 30 minutes HoustonFlood
668-604804245368504320	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604804260832911360	RT Rottweiller2000 abc13weather From HoustonISD Waltrip graduation delayed one hour Bellaire delayed 30 minutes HoustonFlood CAN
668-604804420048547840	RT MichelleAngeloo abc13eyewitness HoustonFlood Ridgemont Elementary 
668-604804423773061120	dpkcmo TY  just didnt want to be in Beijing away from home houstonflood or undergo any health care in China So Im apprehensive is all
668-604804494522642432	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604804566174023681	RT Twogether4ever To all that lost their properties in the houstonflood cheer up The Way Maker will make a way for replacement
668-604804575564955649	RT LianaLisa Whew B safe out there yall Houston weather HoustonFloods texas houstonflood HighTechAztec AztecMuse 
668-604804623115939840	My weather hero DavidPaulKHOU Manning the forecast KHOU houstonflood 2 
668-604804677977276416	RT MyFoxHouston DEVELOPING Westbury HS graduation at NRG Arena is delayed until 730 FOX26Wx HouWx houstonflood YGCWA
668-604804798488051712	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604804834798108672	RT jgalvanpress This will sure make for a memorable graduation TexasFlood HoustonFlood httpstcofXXkjWZ9f9
668-604804883405901824	RT MichelleAngeloo abc13eyewitness HoustonFlood Ridgemont Elementary 
668-604804906684289024	RT MichelleAngeloo abc13eyewitness HoustonFlood Ridgemont Elementary 
668-604804915840454656	houstonflood houwx httpstcoBQ1HiYyH0c
668-604804918289928192	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604804934677073920	RT kobyf98 Minute Maid is flooding after Dallas Keuchels Complete Game ShutoutFearTheBeard HoustonFlood 
668-604804988557082624	RT abc13houston From HoustonISD Westbury HS graduation delayed until 730pm HoustonFlood
668-604804998434717697	RT mdgoykhman Polk and Paige in eado houstonwx houstonflood abc13houston abc13weather 
668-604805006823268352	RT HoustonOEM houstonflood houwx httpstcoBQ1HiYyH0c
668-604805019469160448	View from LaPorte just minutes before the stormsBlueSkys houstonflood 
668-604805036812541952	RT HoustonOEM houstonflood houwx httpstcoc7fZcL2Zyz
668-604805048808271872	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604805068911722496	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604805186830237696	RT HoustonOEM houstonflood houwx httpstcoBQ1HiYyH0c
668-604805322641797120	RT abc13houston From HoustonISD Waltrip graduation delayed one hour Bellaire delayed 30 minutes HoustonFlood
668-604805341876912130	Dear Rain GodsWe have enough to water to last us all year long Please move all the rain to California they need you houstonflood
668-604805446344409088	RT Rainbowdonkee Good reminder for right now in Houston TexasFlood houstonflood 
668-604805572043489280	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604805624572960768	RT ImJessicaWilley Street flooding at Chimney Rock amp S Braeswood abc13 houstonflood 
668-604805643946491904	Rain Rain go away come back another day Had outdoor plans Hair was cute  Be safe everyone bighair houstonflood indoornight overit
668-604805684626997249	You Wont Believe These Pictures of a Flooding Baseball Stadium  minutemaidpark houstonflood texas 
668-604805684652183552	You Wont Believe These Pictures of a Flooding Baseball Stadium  minutemaidpark houstonflood texas 
668-604805695561568256	RT MyFoxHouston DEVELOPING Westbury HS graduation at NRG Arena is delayed until 730 FOX26Wx HouWx houstonflood YGCWA
668-604805711290195968	RT ElNaranja22 The sun rises and  HoustonFlood 
668-604805753917063168	RT 120Sports VIDEO Dallas Keuchel shuts out Sox but he couldnt shut out the HoustonFlood in Minute Maid  http
668-604805788662513666	RT Heidihorcrux Okay rain you can go back where you came from now Houston needs a break  RainRainGoAway HoustonFlood
668-604805816437252096	shannonlive Jets GM  Saved the day  mikemacCagnan  houstonflood  savestheday
668-604805819998150656	floodcity houstonflood Crazy
668-604805833554296832	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604805848951439360	RT PatriciaOnTV   marissaramseyy coming out of man hole cover abc13eyewitness HoustonFlood ABC13 
668-604805895575306240	RT MyFoxHouston FlashFlood FOX26Wx houstonflood YGCWA HouWx httpstcouAjtjQteE5
668-604805936440475648	RT HoustonOEM houstonflood houwx httpstcoBQ1HiYyH0c
668-604806000877535232	HoustonFlood
668-604806025288417280	RT sportsmediaLM When you live in a trailer park and this is your shot to get on TV houstonFlood 
668-604806048201908224	RT Rainbowdonkee Good reminder for right now in Houston TexasFlood houstonflood 
668-604806054724050945	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-604806127612624896	RT DeMarkoGage I have Texas in my prayers as I go to sleep  houstonflood PrayforTexas 
668-604806243639656448	RT JaeIsabell Just 30 minutes later at 630pm Cant see the closest sidewalks anymore houstonflood BraysBayou 
668-604806261029392384	RT ShernMinKHOU My weather hero DavidPaulKHOU Manning the forecast KHOU houstonflood 2 
668-604806456504905730	Stop raining Houston  houstonflood
668-604806511869734913	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604806528806158336	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604806587199266816	houstonflood abc13eyewitness 
668-604806721366691840	RT Rainbowdonkee Good reminder for right now in Houston TexasFlood houstonflood 
668-604806766363156480	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604806776731529216	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-604806801477885953	RT THEeroticneed dpkcmo TY  just didnt want to be in Beijing away from home houstonflood or undergo any health care in China So Im
668-604806810680201216	RT HoustonOEM houstonflood houwwx httpstcoxcRPBke2Ni
668-604806814601912321	RT Rainbowdonkee Good reminder for right now in Houston TexasFlood houstonflood 
668-604806845853605889	RT ImJessicaWilley Street flooding at Chimney Rock amp S Braeswood abc13 houstonflood 
668-604806885297008641	houstonflood houston flood flooding texasFlood httpstcoXdruSlTxqH
668-604806889151561728	Photo houstonflood houston flood flooding texasFlood 
668-604807171092529152	RT kobyf98 Minute Maid is flooding after Dallas Keuchels Complete Game ShutoutFearTheBeard HoustonFlood 
668-604807243876270080	We will always be Jets fans JetsGM saves the day MikeMacMacgnan saved us in recent Houston flood houstonFlood
668-604807245725958144	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604807281776001024	RT itscesargil This is cesar reporting to you live from Houston Texas houstonflood part 2 
668-604807297198530560	Hunker down Houston Please dont drive into high water thinking you can make it  houstonflood
668-604807376684720129	RT ElNaranja22 The sun rises and  HoustonFlood 
668-604807399354957824	RT HoustonOEM houstonflood houwx httpstcoc7fZcL2Zyz
668-604807494423080960	RT ImJessicaWilley Street flooding at Chimney Rock amp S Braeswood abc13 houstonflood 
668-604807499548467200	Thankful I dont live any further south bad flooding again south of downtownhoustonflood
668-604807513150660608	How do people handle it in Seattle with all the rain RainInHouston  NoMoreRain houstonflood houstonweather
668-604807562983145472	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604807669229199361	The usual suspects  jchrealty WhatRain HoustonFlood MargaritasAreEverything  Tonys httpstco4Qtn5hkGgw
668-604807669497479169	RT FirstGenCollege Streets are flooding quickly again and traffic lights blowing away HoustonFlood httpstcolYhj8svVjv
668-604807704570408960	RT BrotherJesse Malaika Muhammad saves 7 ppl from HoustonFlood Fear Wasnt Going to Serve Anyone in that Moment gtgt 
668-604807712417959937	Livy clinging to YiaYia during the storm  rainraingoaway houstonflood httpstco2hn7s8HI2R
668-604807864503263232	Its full but not overflowing  BraysBayou houstonflood 
668-604807914813915136	RT KayKirb1 I was swimming all day soaking up the sun getting sunburnt amp now its a catastrophic hurricane X2 outside houstonflood
668-604807922225250304	RT jwharris Updated map of Texas txflood ctxwx houstonflood 
668-604807929171165184	RT HaroldItz Texas gets more federal disaster aid than any other state Its senators voted against Sandy relief HoustonFlood httpst
668-604807936435589120	You Wont Believe These Pictures of a Flooding Baseball Stadium  minutemaidpark houstonflood houstonrain 
668-604807936469180416	You Wont Believe These Pictures of a Flooding Baseball Stadium  minutemaidpark houstonflood houstonrain 
668-604807952663375872	RT MichelleAngeloo abc13eyewitness HoustonFlood Ridgemont Elementary 
668-604807965233659904	RT itsjustjeni Hunker down Houston Please dont drive into high water thinking you can make it  houstonflood
668-604808007038308352	Coincidence I think not texasfloodshoustonflood bluebell abc13eyewitness 
668-604808068124176384	RT MichelleAngeloo abc13eyewitness HoustonFlood Ridgemont Elementary 
668-604808073740288000	MikacCagnan NYJetsGM just saved our Caron recent HoustonFlood
668-604808160369643520	Not this again HoustonHeights houstonflood whiteoakbayou hounews httpstco3aFNetZOXv
668-604808172772036609	Water starting to creep up in 59 before you get to Kriby houstonflood
668-604808177087938562	RT sportsmediaLM astros minutemaidpark houstonflood 
668-604808178274992128	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604808277415751680	RT jwharris Updated map of Texas txflood ctxwx houstonflood 
668-604808279185760256	More rain houstonflood
668-604808287339446272	RT ruthymunoz Its full but not overflowing  BraysBayou houstonflood 
668-604808328800116736	RT bmaclogic FOX26Michelle this was at the Astros houstonflood 
668-604808407745323008	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-604808437403287552	RT HoustonAbodes Everyone be safe out there on these Houston streets Dont drive into high water thinking you can make it houstonflood
668-604808439269867521	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604808500057808896	RT LauradblUTF amp the storms are back  houstonflood
668-604808512527462400	MikeMacCagnan saved our car from flooding in recent HoustonFlood
668-604808549361844224	RT HaroldItz Texas gets more federal disaster aid than any other state Its senators voted against Sandy relief HoustonFlood httpst
668-604808551563804673	RT DeMarkoGage I have Texas in my prayers as I go to sleep  houstonflood PrayforTexas 
668-604808617368424448	DEVELOPING METROHouston suspends all rail service red green amp purple lines until weather improves FOX26Wx HouWx houstonflood YGCWA
668-604808644366974976	Thank God I made it to work Rain filled streets again Hit a flood at Main St detoured houstonflood nightshift 
668-604808667620245504	Dude how Like seriously HOW  HoustonFlood 
668-604808724897742848	RT bmaclogic FOX26Michelle this was at the Astros houstonflood 
668-604808753108520960	RT HCOHSEM FEMA Disaster Assistance  or call 1800621FEMA 3362 Register Now HouNews houstonflood
668-604808792367243266	Three emergency flood warnings in about an hour houstonflood
668-604808815767228416	RT AstrosTrainGuy If you ever thought being up here was glamorous lol Astros picsfromthetrain behindthescenes houstonflood 
668-604808836084576256	RT MyFoxHouston DEVELOPING METROHouston suspends all rail service red green amp purple lines until weather improves FOX26Wx HouWx 
668-604808843814502400	RT MyFoxHouston DEVELOPING METROHouston suspends all rail service red green amp purple lines until weather improves FOX26Wx HouWx 
668-604808844414304256	RT bmaclogic FOX26Michelle this was at the Astros houstonflood 
668-604808887427022848	Bored Listening to the rain Smoking hookah flashfloodwarning houstonflood Houston httpstcokP7QTkfx39
668-604808917420359681	KHOU houstonflood Red Bluff Rd Pasadena Tx  
668-604808928237518848	RT abc13houston CANCELED EVENT Foam Glow 5K has canceled tonights event at Sam Houston Raceway due to the severe weather houstonflood 
668-604808987448451072	McClainonNFL this was today at minutemaidpark houstonflood Astros 
668-604808989386285057	RT MyFoxHouston DEVELOPING METROHouston suspends all rail service red green amp purple lines until weather improves FOX26Wx HouWx 
668-604809035905236992	RT misunbae abc13houston shepherd and Alabama houstonflood abc13storm lexiedreyer 
668-604809054301626370	HoustonFlood  httpstcoT7tal3DPnr
668-604809092230561792	Its raining more than cats amp dogs its raining dinosaurs Plz stay inside right now ppl houstonflood abc13houston 
668-604809114783379456	RT abc13houston From HoustonISD Waltrip graduation delayed one hour Bellaire delayed 30 minutes HoustonFlood
668-604809143782809601	Hopefully it stays that way TexasFlood HoustonFlood httpstco53S7NGpmgd
